x,xp,y,yp,t,p
-1.764889922924339771e-03,-1.264848513528704643e-03,-1.015760703012347221e-03,1.270438660867512226e-03,-1.476900025887406542e-11,2.575648948550224304e-03
4.684557789005339146e-04,3.580287157092243433e-04,-4.205658333376049995e-04,1.309955376200377941e-03,-9.767497574642014513e-12,7.683831267058849335e-03
2.038679318502545357e-03,-4.989192239008843899e-04,-6.084056803956627846e-04,2.015366218984127045e-03,-1.913651702378782460e-11,1.278201304376125336e-02
-3.686629468575119972e-03,-3.651378501672297716e-04,-5.254154675640165806e-04,8.525302982889115810e-04,3.627105343503855828e-12,-3.569002961739897728e-03
-2.724826801568269730e-03,-1.147978706285357475e-03,-2.645506756380200386e-04,7.080334471538662910e-04,1.781118221660937806e-12,-1.380853005684912205e-03
2.371996873989701271e-03,-1.031143357977271080e-03,-7.325840415433049202e-04,1.989706652238965034e-03,-2.586047695429805060e-11,1.359913684427738190e-02
5.717071238905191422e-03,1.989526645047590137e-04,-3.474841068964451551e-04,1.441317494027316570e-03,-4.080668788986052675e-11,2.327460981905460358e-02
8.774825255386531353e-04,-2.696439332794398069e-04,-6.429687491618096828e-04,1.649016048759222031e-03,-1.524214608694673956e-11,9.104943834245204926e-03
-7.617093157023191452e-03,-1.349189202301204205e-03,-2.339441271033138037e-04,1.259237524209311232e-05,2.116111973149426007e-11,-1.414502132683992386e-02
2.422204241156578064e-03,-9.776664664968848228e-04,-4.898730549030005932e-04,1.887469203211367130e-03,-2.165948843890763698e-11,1.349950768053531647e-02
-1.084331073798239231e-03,-1.794216921553015709e-03,-8.077074890024960041e-04,1.780867576599121094e-03,-1.240862534251929716e-11,3.891778877004981041e-03
-3.413649974390864372e-03,3.165975158481160179e-06,-3.010115760844200850e-04,5.901010008528828621e-04,4.319782379025305374e-12,-2.988233231008052826e-03
-1.046044344548135996e-04,-3.187823167536407709e-04,-3.046702477149665356e-04,1.011371728964149952e-03,-9.475380549628376059e-12,5.545224994421005249e-03
-1.782857114449143410e-03,-1.264813938178122044e-03,-5.928653990849852562e-04,9.433773229829967022e-04,-7.004012387429314757e-12,1.697345054708421230e-03
2.168072387576103210e-03,5.508786998689174652e-04,-3.315097710583359003e-04,1.343699637800455093e-03,-1.604865199067440074e-11,1.269771903753280640e-02
-6.774913985282182693e-03,-7.974494947120547295e-04,-4.679195626522414386e-05,-3.198206468368880451e-05,2.066466268935140960e-11,-1.255822740495204926e-02
-4.415900912135839462e-03,-6.785270525142550468e-04,-4.304006506572477520e-05,1.266020553885027766e-04,1.129242619551940052e-11,-6.294064223766326904e-03
-1.526579260826110840e-03,-2.153837820515036583e-03,-4.988571163266897202e-04,1.628012047149240971e-03,-7.316179780059162141e-12,2.129911212250590324e-03
3.475309815257787704e-03,-3.329698229208588600e-04,-3.680112131405621767e-04,1.695285667665302753e-03,-2.887773700721574244e-11,1.696454547345638275e-02
-7.725618779659271240e-03,-1.399951521307229996e-03,-5.713276550523005426e-05,-7.839590398361906409e-05,2.430401019326566825e-11,-1.498919352889060974e-02
-1.406040508300065994e-03,-9.623567457310855389e-04,-2.708997635636478662e-04,6.158309988677501678e-04,-3.708552562264877395e-12,2.174343448132276535e-03
-4.000699613243341446e-03,-8.603484602645039558e-04,-2.264260401716455817e-04,8.483788114972412586e-04,8.605460961874644710e-12,-4.997203126549720764e-03
-6.559627130627632141e-03,-2.614409662783145905e-03,-2.894971403293311596e-04,2.911877527367323637e-04,1.572602638388875818e-11,-1.137940399348735809e-02
-4.658436402678489685e-03,-2.156130736693739891e-03,-5.474966019392013550e-04,1.074390369467437267e-03,6.079400437924986633e-12,-6.023980211466550827e-03
3.971326630562543869e-03,-3.016438568010926247e-04,-4.954529576934874058e-04,1.669221441261470318e-03,-3.002310552946418909e-11,1.793762855231761932e-02
2.186497906222939491e-03,-6.770902546122670174e-04,-6.664182874374091625e-04,2.073796000331640244e-03,-2.061972641242970639e-11,1.325802970677614212e-02
